Assay_Type	AvgSpotLen	BioSample	Experiment	Instrument	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	genotype	mouse_number	primary_tumor_index	sequencing_type	tissue	tumor_index	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	sex	strain	treatment
WXS	202	SAMN07504110	SRX3094195	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-34,101bp PE"	9138	3896	SRR5933808	SRS2431522	HL-WES-34	Trp53+/+;Brca1+/+;	1531	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504109	SRX3094194	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-22,101bp PE"	8028	3525	SRR5933809	SRS2431518	HL-WES-22	Trp53flox/flox;Brca1+/+;	1531	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504108	SRX3094193	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL145,51bp PE"	6061	2209	SRR5933810	SRS2431520	HL145	Trp53flox/flox;Brca1flox/flox;	1525	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504107	SRX3094192	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-93,101bp PE"	5058	1909	SRR5933811	SRS2431516	HL-WES-93	Trp53+/+;Brca1+/+;	1525	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504114	SRX3094191	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-14,51bp PE"	2128	912	SRR5933812	SRS2431515	HL-WES-14	Trp53+/+;Brca1+/+;	1536	-1	WEX	tail	-1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	102	SAMN07504113	SRX3094190	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-06,51bp PE"	6126	2516	SRR5933813	SRS2431513	HL-WES-06	Trp53flox/flox;Brca1flox/flox;	1536	1	WEX	primary	5	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504112	SRX3094189	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL126,51bp PE"	5524	1948	SRR5933814	SRS2431514	HL126	Trp53flox/flox;Brca1+/+;	1531	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504111	SRX3094188	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	"HL114,51bp PE"	4135	2805	SRR5933815	SRS2431512	HL114	Trp53flox/flox;Brca1+/+;	1531	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
WXS	202	SAMN07504200	SRX3094187	Illumina HiSeq 4000	Hybrid Selection	GENOMIC	"HL-WES-30,101bp PE"	7901	3451	SRR5933816	SRS2431511	HL-WES-30	Trp53flox/flox;Brca1+/+;	2005	1	WEX	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
RNA-Seq	102	SAMN07504062	SRX3094165	Illumina HiSeq 4000	cDNA	TRANSCRIPTOMIC	"HL123,51bp PE"	5808	2050	SRR5933838	SRS2431490	HL123	Trp53flox/flox;Brca1flox/flox;	1457	1	RNAseq	primary	1	PRJNA398328	Model organism or animal	public	sra	ncbi	0	PAIRED	2017/8/15	Mus musculus	ILLUMINA	2017/11/11	SRP115453	not collected	female	C57BL/6	none
